,Unnamed: 0,FacultyID,DepartmentCode,EntryTypeID,TCAS,HomeRegion,SchoolRegionNameEng,EntryGPA,GPAX,GPA_Eng,GPA_Math,GPA_Sci,GPA_Sco,Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q12,Q13,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28,Q30,Q31,Q32,Q33,Status
85,132,11,1112,20,5,1,1,3.32,3.32,2.69,3.02,3.61,3.4,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,MFU student
86,133,11,1112,20,5,0,0,3.25,3.25,3.5,2.61,3.04,3.74,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MFU student
87,135,11,1112,29,5,0,0,3.253043206,3.51,3.33,3.61,3.07,3.86,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,MFU student
88,136,11,1112,29,5,0,0,3.253043206,3,3.21,2.57,2.46,3.59,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,MFU student
89,137,11,1112,29,5,0,0,3.73,3.73,3,3.88,3.7,3.95,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,MFU student
90,139,11,1112,29,5,0,0,3.25,3.25,3.5,2.61,3.04,3.74,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,MFU student
91,141,12,1201,11,1,0,0,3.63,3.57,3.74,3.27,3.53,3.63,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,MFU student
92,142,12,1201,11,1,0,0,3.37,3.34,3.1,2.65,3.3,3.65,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,MFU student
93,143,12,1201,52,1,0,0,3.72,3.71,3.9,3.74,3.48,3.87,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,MFU student
94,144,12,1201,11,2,1,1,3.2,3.16,2.8,2.64,2.92,3.75,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,MFU student
95,146,12,1201,11,1,1,1,3.52,3.5,3.6,3.75,2.97,3.91,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,MFU student
96,150,12,1201,11,2,1,1,2.76,2.73,2.79,2.88,2.47,2.68,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,MFU student
97,151,12,1201,11,1,0,0,3.51,3.49,3.1,3.5,3.39,3.45,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MFU student
98,152,12,1201,11,2,0,0,2.84,2.83,2.66,2.13,2.4,2.97,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,MFU student
99,153,12,1201,11,1,1,1,3.24,3.24,3.5,2.59,2.78,3.26,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,MFU student
100,154,12,1201,11,2,1,1,3.8,3.78,3.96,3.81,3.64,3.86,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,MFU student
101,155,12,1201,11,1,0,0,3.253043206,3.18,3.42,2.8,3.4,2.94,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,MFU student
102,156,12,1201,29,1,0,0,3.1,3.08,3.09,3.06,2.69,3.25,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,MFU student
103,157,12,1201,11,1,1,1,3.33,3.24,2.95,3.5,2.8,3.35,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,MFU student
104,159,12,1201,11,1,0,0,3.1,3.08,3.07,2.28,3.25,3,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,MFU student
105,161,12,1201,11,1,0,0,3.253043206,2.55,2.36,2.4,2.12,2.77,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,MFU student
106,162,12,1201,11,2,0,0,3.23,3.19,3.68,2.48,2.94,3.75,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,MFU student
107,163,12,1201,52,1,0,0,3.52,3.5,3.6,3.18,3.22,3.97,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,MFU student
108,165,12,1201,52,1,0,0,3.253043206,3.33,3.21,2.77,3.46,3.68,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,MFU student
109,168,12,1201,11,2,0,0,3.69,3.66,3.92,3.88,3.21,3.89,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,MFU student
110,171,12,1201,52,1,0,0,3.54,3.61,3.72,3.44,3.3,3.89,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,MFU student
111,172,12,1201,11,2,1,1,2.5,2.54,2.7,2.67,1.7,2.94,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,MFU student
112,173,12,1201,11,2,0,0,3.31,3.31,3.74,3.76,2.63,3.55,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,MFU student
113,174,12,1201,29,1,0,0,3.41,3.4,3.24,3.18,3.23,3.73,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,MFU student
114,175,12,1201,11,1,0,0,3.34,3.34,3.35,2.92,3.28,3.28,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,MFU student
115,176,12,1201,11,1,1,1,3.66,3.66,3.86,3.4,3.59,3.91,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,MFU student
116,177,12,1201,29,1,0,0,3.48,3.42,3.31,3.44,3,3.88,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,MFU student
117,179,12,1201,11,1,0,0,3.04,3.01,2.84,2.78,2.85,3.16,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,MFU student
118,180,12,1201,52,1,0,0,3.253043206,3.65,3.96,3.51,3.35,3.83,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,MFU student
119,182,12,1201,11,1,0,0,3.21,3.18,3.71,2.5,3.05,3.19,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,MFU student
120,183,12,1201,10,2,1,1,3.68,3.7,3.83,3.64,3.5,3.86,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,MFU student
121,184,12,1201,11,2,0,0,2.73,2.7,2.67,2.94,2.26,2.83,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,MFU student
122,185,12,1201,11,2,0,1,3.253043206,2.72,1.94,1.8,2.56,2.18,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,MFU student
123,187,12,1201,10,2,1,1,3.08,3.01,2.91,2.86,2.83,3.26,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,MFU student
124,188,12,1201,52,1,0,0,3.39,3.43,3,3.33,3.24,3.95,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,MFU student
125,189,12,1201,11,2,1,1,3.66,3.65,3.9,3.42,3.5,3.79,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,MFU student
126,192,12,1201,29,1,1,1,3.5,3.49,3.67,2.76,3.58,3.57,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,MFU student
127,194,12,1201,52,1,1,1,3.44,3.44,3.75,2.98,3.11,3.83,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,MFU student
128,196,12,1201,11,2,0,1,3.35,3.38,3.36,2.7,2.91,3.8,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,MFU student
129,197,12,1201,11,2,0,0,3,2.94,2.94,2.93,2.46,3.55,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,MFU student
130,200,12,1201,11,2,1,0,3.86,3.84,3.92,3.96,3.66,3.82,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,MFU student
131,201,12,1201,11,1,0,0,3.42,3.47,3.48,2.96,3,3.58,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,MFU student
132,202,12,1201,52,1,0,0,3.18,3.24,2.78,2.6,3.32,3.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,MFU student
133,203,12,1201,29,1,0,0,3.93,3.92,3.68,3.94,4,3.97,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,MFU student
134,204,12,1201,11,1,1,1,3.57,3.56,3.46,3.53,3.85,3.3,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,MFU student
135,205,12,1201,11,1,0,0,3.12,3.11,3.12,3.26,2.55,3.47,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,MFU student
